1,1,2,3,4,5,6,7
1,5,5,5,5,5,5,5
2,10,10,10,10,10,10,10
3,26,35,46,70,93,140,163
4,46,61,81,122,163,245,285
5,52,70,93,140,186,280,326
6,72,96,128,192,256,385,449
7,92,122,163,245,326,490,571
8,105,140,186,280,373,560,653
9,124,166,221,332,443,665,775
10,144,192,256,385,513,770,898
11,164,218,291,437,583,875,1020
12,184,245,326,490,653,980,1143
13,203,271,361,542,723,1085,1265
14,229,306,408,612,816,1225,1429
15,249,332,443,665,886,1330,1551
16,269,358,478,717,956,1435,1674
17,289,385,513,770,1026,1540,1796
18,315,420,560,840,1120,1680,1960
19,341,455,606,910,1213,1820,2123
20,361,481,641,962,1283,1925,2245
21,387,516,688,1032,1376,2065,2409
22,407,542,723,1085,1446,2170,2531
23,439,586,781,1172,1563,2345,2735
24,459,612,816,1225,1633,2450,2858
25,486,647,863,1295,1726,2590,3021
26,512,682,910,1365,1820,2730,3185
27,538,717,956,1435,1913,2870,3348
28,564,752,1003,1505,2006,3010,3511
29,591,787,1050,1575,2100,3150,3675
30,617,822,1096,1645,2193,3290,3838
31,643,857,1143,1715,2286,3430,4001
32,676,901,1201,1802,2403,3605,4205
33,696,927,1236,1855,2473,3710,4328
34,728,971,1295,1942,2590,3885,4533
35,761,1015,1353,2030,2706,4060,4736
36,781,1041,1388,2082,2776,4165,4859
37,814,1085,1446,2170,2893,4340,5063
38,847,1129,1505,2257,3010,4515,5268
39,873,1163,1551,2327,3103,4655,5430
40,899,1198,1598,2397,3196,4795,5594
41,932,1242,1656,2485,3313,4970,5798
42,958,1277,1703,2555,3406,5110,5961
43,991,1321,1761,2642,3523,5285,6165
44,1024,1365,1820,2730,3640,5460,6370
45,1050,1400,1866,2800,3733,5600,6533
46,1083,1444,1925,2887,3850,5775,6738
47,1116,1487,1983,2975,3966,5950,6941
48,1142,1522,2030,3045,4060,6090,7105
49,1181,1575,2100,3150,4200,6300,7350
50,1207,1610,2146,3220,4293,6440,7513
51,1234,1645,2193,3290,4386,6580,7676
52,1273,1697,2263,3395,4526,6790,7921
53,1306,1741,2321,3482,4643,6965,8125
54,1332,1776,2368,3552,4736,7105,8289
55,1371,1828,2438,3657,4876,7315,8534
56,1398,1864,2485,3727,4970,7455,8698
